id	chrom	start	end
6370594	9	4664855	4664904
7320615	9	3878659	3878708
5870326	9	130169821	130169870
1430477	9	99795183	99795232
3190735	9	140084557	140084606
6590725	9	110094078	110094127
5290474	9	2193501	2193550
990280	9	129985241	129985290
3800647	9	114695211	114695260
4260386	9	90346064	90346113
3450040	9	131595445	131595494
3180382	9	115928100	115928149
4560367	9	124906469	124906518
6760543	9	34252137	34252186
4860315	9	35609746	35609795
4050438	9	34635130	34635179
510136	9	34635027	34635076
4150706	9	32762391	32762440
3940204	9	124062108	124062157
2370494	9	133513065	133513114
1580201	9	138457641	138458441
3180091	9	79122257	79122306
6380044	9	140157502	140157551
6860113	9	140167580	140167629
870131	9	127997188	127997237
6060224	9	113635395	113635444
1510674	9	115804185	115804234
4180136	9	88158112	88158161
50553	9	34635201	34635250
6060554	9	124578228	124578277
6060209	9	36214675	36214724
3370048	9	136228735	136228784
2340608	9	80038865	80038914
3710685	9	139258498	139258547
5820121	9	35405064	35405113
3120437	9	131857301	131857350
6770037	9	74696632	74696681
7510343	9	35865216	35865265
5570142	9	80881460	80881509
4180088	9	133762931	133762980
6650458	9	35100004	35100053
2710142	9	131939220	131939269
4850646	9	140509310	140509359
6180056	9	132573181	132573230
7150270	9	140063230	140063279
2850112	9	138824938	138824987
2470044	9	18721649	18723050
3780608	9	130647822	130647871
10356	9	136217717	136217766
5870292	9	4258435	4258484
5700220	9	90322817	90322866
7040731	9	80036167	80036216
1820739	9	90581610	90581659
1170446	9	96209199	96209248
1010768	9	32572969	32573018
4290554	9	90401709	90401758
6020564	9	19050692	19050741
2340392	9	36677223	36677272
160097	9	36677336	36677385
7160576	9	23155939	23155988
6250184	9	134133673	134133722
4210326	9	125670700	125670749
2340477	9	15172038	15172087
4280053	9	35649530	35649579
2680072	9	138012897	138012946
1510438	9	135933516	135933565
3890196	9	35089121	35089170
3310451	9	35088960	35089009
2900228	9	140708883	140708932
6250196	9	95374884	95375337
2450608	9	32450621	32450670
3140520	9	100362272	100362321
5890195	9	125003887	125003936
3370255	9	139323313	139323362
6860612	9	5919701	5919750
4040373	9	135766887	135766936
3290382	9	135767206	135767255
7000397	9	745688	745737
4040504	9	37503601	37503650
6480064	9	37503183	37503232
3850274	9	108310763	108310812
3840215	9	130702888	130702937
1850546	9	130703485	130703534
6110646	9	72324629	72324678
6450326	9	33265057	33265106
4640427	9	97222387	97222436
6770646	9	102278256	102278305
5690228	9	123151211	123151260
6370091	9	117360460	117360509
4260017	9	123163163	123165084
1510669	9	21077273	21077322
1740343	9	78804641	78808180
2760066	9	20345153	20345202
7650615	9	37436770	37436819
290561	9	117552598	117552647
4830056	9	127639437	127639486
6840064	9	95474163	95474212
5310360	9	82341287	82341336
2470136	9	82340957	82341006
4890500	9	132575549	132575598
6180465	9	136336252	136336301
1500095	9	3827827	3827876
6560017	9	3824262	3824311
2760494	9	96441457	96441506
6280082	9	91976790	91976839
1070373	9	115636605	115636654
6380128	9	36211655	36211704
2370482	9	124091199	124091248
3850682	9	101551545	101551594
150484	9	100857311	100862213
510634	9	132396465	132396514
7650379	9	132396532	132396581
4180445	9	139888226	139888275
1780450	9	132397096	132397145
2600209	9	136226947	136226996
5090603	9	131833976	131834025
2570246	9	127640975	127641024
3390731	9	33344135	33344184
1980112	9	130823684	130823733
2030438	9	35737058	35737107
2470196	9	34998055	34998104
940286	9	102742041	102742090
7160142	9	132998724	132998773
630706	9	138903303	138903352
4220739	9	138903564	138903613
1230465	9	86595520	86595569
4730541	9	108145458	108145507
4810671	9	94841790	94841839
1510348	9	34889290	34889339
50544	9	20993269	20993318
6040037	9	99262894	99262943
4860689	9	136208547	136208596
6590661	9	136207792	136207841
3710324	9	136218997	136219301
4830253	9	134375077	134375126
2940204	9	139621276	139621325
3520671	9	139567910	139567959
3850370	9	139571073	139571122
2470093	9	71869422	71869471
5390100	9	94984834	94984883
6100441	9	116054728	116054777
2070195	9	139270073	139270122
6380463	9	77755778	77755827
450348	9	114423945	114423994
6620753	9	74969786	74969835
4610753	9	130577674	130577723
3440446	9	100667010	100667059
6200681	9	130678690	130678739
1070477	9	75515914	75515963
4250601	9	135139643	135139692
60524	9	126164104	126164153
4860092	9	6007318	6007367
5870154	9	111629825	111629874
7380706	9	95883881	95883930
650056	9	139511249	139511298
4900239	9	5468106	5468155
4860437	9	140476807	140476856
6940102	9	117783087	117783136
1440050	9	140086176	140086225
1470669	9	117783253	117783302
3290601	9	86888496	86888545
2640379	9	100437381	100437430
1980192	9	103060264	103062870
840717	9	90341182	90341231
4150189	9	90346075	90346124
10438	9	104087030	104087079
7320246	9	100692946	100692995
650619	9	129269116	129269165
2470746	9	88633245	88633294
110678	9	114128607	114128802
580204	9	131483417	131483466
7160674	9	86275114	86275163
7560180	9	114803424	114803473
2450093	9	35056717	35056766
3830605	9	139256413	139256462
770747	9	131255066	131256819
1090026	9	139318098	139318147
1170019	9	130925936	130925985
4880392	9	35104294	35104343
7650474	9	123632053	123632102
5550402	9	123632223	123632721
2750370	9	133298492	133298541
1570433	9	128127062	128127111
3460441	9	139757397	139757446
3360471	9	139756746	139756795
6110161	9	130883016	130883065
870113	9	130883552	130884641
2030446	9	15462314	15462363
1820133	9	135469872	135469921
2600452	9	136198034	136198083
380494	9	71145631	71145680
1470475	9	91974180	91974229
4760703	9	32455896	32455945
3610280	9	35847058	35847107
7330343	9	134585116	134585165
6270037	9	134452268	134452317
4590427	9	19373676	19373725
3140193	9	140342696	140342745
2490100	9	107516923	107516972
940630	9	27325806	27325855
3290091	9	34086706	34086755
5910722	9	26118349	26118398
2060291	9	124101421	124101470
6290519	9	124110374	124110423
510044	9	110247732	110247781
2810059	9	110247501	110247550
2060152	9	104152446	104152495
2640368	9	136627228	136627277
630181	9	140328699	140328748
1240047	9	140008753	140008802
670608	9	140006150	140006199
2140487	9	140006625	140006674
7570670	9	91090488	91090537
7380601	9	5784684	5784733
4880703	9	86276691	86276740
4230484	9	86278958	86279945
3870424	9	140081978	140082027
670408	9	127911477	127911526
240768	9	100887096	100887145
1990433	9	86618768	86618817
5310100	9	100258242	100258291
1340114	9	135251432	135251481
1570138	9	32972785	32972834
4120176	9	34611867	34611916
5090176	9	95874523	95875274
4590301	9	21165953	21166002
3190437	9	130265699	130265748
1260154	9	131852411	131852460
1440451	9	133580002	133580051
7100403	9	79000988	79001037
5050349	9	79985959	79986008
3390136	9	95377580	95377629
3520202	9	464869	464918
4120722	9	95060168	95060539
6510754	9	75520948	75524518
4760164	9	130494513	130494562
2450338	9	25677386	25677435
6180470	9	74480311	74480360
2760113	9	6011427	6011476
1450563	9	125616278	125616327
6660398	9	137801466	137801515
670725	9	111703485	111703534
4040719	9	114416407	114416456
360047	9	89559740	89559789
7610446	9	37778781	37778830
6770056	9	38413266	38413315
620731	9	94793852	94793901
4070427	9	124584375	124584424
290475	9	111714562	111714611
1230746	9	88916462	88916511
2640184	9	37438461	37438510
3170722	9	27062741	27062790
3930170	9	90581677	90581726
6200184	9	123421660	123421709
1260136	9	123363475	123363524
2850538	9	125866507	125866556
5270291	9	33920059	33920108
5340328	9	7175007	7175056
2140347	9	132086733	132086782
4900504	9	86894300	86894890
5390347	9	130207460	130207509
1740075	9	99403902	99403951
3990411	9	27567074	27567123
510347	9	27546907	27546956
7570022	9	27547110	27547159
5570187	9	91619525	91619574
2970612	9	6506243	6506292
4050037	9	21141132	21141181
6480612	9	71398279	71398328
3890524	9	132589712	132589761
3610068	9	112934606	112934655
2970162	9	112931101	112931150
3370661	9	33048186	33048235
6840767	9	85862728	85862777
2510070	9	134399750	134399799
4200546	9	35610297	35610599
4760427	9	88162009	88162058
7550523	9	116818663	116818712
670176	9	116812147	116812196
1990047	9	131051055	131051104
2640019	9	130210839	130210888
7050279	9	71717433	71717482
4880544	9	101611248	101611297
3940392	9	79226587	79226636
1940400	9	102595097	102595609
4640703	9	33281297	33281346
2940192	9	130891633	130891682
6650433	9	35697375	35697424
3400632	9	104331749	104331798
